cnpj_fornecedor;nome_fornecedor;cod_produto_xml;descricao_produto_xml;id_sistema_sugerido;descricao_sistema_sugerida;CONFIRMAR_ID_SISTEMA
4402277000100;BIC AMAZONIA SA;835205;CANETA ESFEROGRAFICA;1015952;CANETA ESFEROGRAFICA TOUCH;1015952
4402277000100;BIC AMAZONIA SA;835208;CANETA ESFEROGRAFICA;1015952;CANETA ESFEROGRAFICA TOUCH;1015952
4402277000100;BIC AMAZONIA SA;856432;CANETA ESFEROGRAFICA;1015952;CANETA ESFEROGRAFICA TOUCH;1015952
4402277000100;BIC AMAZONIA SA;886649;CANETA ESFEROGRAFICA;1015952;CANETA ESFEROGRAFICA TOUCH;1015952
4402277000100;BIC AMAZONIA SA;904400;CANETA COM PONTA DE FELTRO;;;
4402277000100;BIC AMAZONIA SA;904401;CANETA COM PONTA DE FELTRO;;;
4402277000100;BIC AMAZONIA SA;904402;CANETA COM PONTA DE FELTRO;;;
212872000113;ASA SUL INDUSTRIA E COMERCIO DE MALHAS LTDA;2767;BABYLOOK GOLA POLO MANGA CURTA COM PUNHO PIQUET PV BRANCO P;;;
212872000113;ASA SUL INDUSTRIA E COMERCIO DE MALHAS LTDA;2788;BABYLOOK GOLA POLO MANGA CURTA COM PUNHO PIQUET PV AZUL ROYAL M;;;
212872000113;ASA SUL INDUSTRIA E COMERCIO DE MALHAS LTDA;2632;CAMISA GOLA POLO MANGA CURTA COM PUNHO PIQUET PV BRANCO G;;;
212872000113;ASA SUL INDUSTRIA E COMERCIO DE MALHAS LTDA;2640;CAMISA GOLA POLO MANGA CURTA COM PUNHO PIQUET PV PRETO G;;;
212872000113;ASA SUL INDUSTRIA E COMERCIO DE MALHAS LTDA;2773;BABYLOOK GOLA POLO MANGA CURTA COM PUNHO PIQUET PV PRETO M;;;
212872000113;ASA SUL INDUSTRIA E COMERCIO DE MALHAS LTDA;2631;CAMISA GOLA POLO MANGA CURTA COM PUNHO PIQUET PV BRANCO M;;;
212872000113;ASA SUL INDUSTRIA E COMERCIO DE MALHAS LTDA;2633;CAMISA GOLA POLO MANGA CURTA COM PUNHO PIQUET PV BRANCO GG;;;
212872000113;ASA SUL INDUSTRIA E COMERCIO DE MALHAS LTDA;2793;BABYLOOK GOLA POLO MANGA CURTA COM PUNHO PIQUET PV AZUL MARINHO M;;;
2884314000120;RAFAEL & DANTAS LTDA;44432;GLITER PVC REAL 50G LILAS 0869;;;
2884314000120;RAFAEL & DANTAS LTDA;44430;GLITER PVC REAL 50G BRANCO 0522;;;
2884314000120;RAFAEL & DANTAS LTDA;44441;GLITER PVC REAL 50G VERMELHO 0527;;;
