key;cEAN;cProd;xProd;maxPrice
7832;;7832;CEBOLA NACIONAL KG;83.41
7898943615190;7898943615190;3477;CEBOLINHA INDUSTRIAL;5.99
7898943615206;7898943615206;3484;COENTRO INDUSTRIAL;5.99
7898922012057;7898922012057;1104504;FARINHA MAND AM DONA DE 1KG;4.9
7898384200375;7898384200375;87149;FEIJAO DE CORDA GRANULAR 1KG;4.85
7898384200139;7898384200139;61691;FEIJAO PRETO FIBRA T1 1KG;5.89
7896510100018;7896510100018;60580;LEITE PAST MARANGUAPE TIPO C 1L;3.99
7898955348031;7898955348031;1045792;OVO BRANCO EXTRA 30UND;19.98
7896304100354;7896304100354;58836;OVO VERMELHO GRANDE AVINE 30UN;19.99
7890001000016;7890001000016;8129;BATATA MONALIZA LAVADA KG;5.888021
7896825400407;7896825400407;1104524;COB CR MILK PIZZA 1,5KG SABOR REQ;11.89
8117;;8117;PIMENTAO VERDE KG;5.987879
8186;;8186;TOMATE SALADA KG;8.987705
7896607100341;7896607100341;1141352;VODKA BOLVANA 965ML;9.49
7898621092220;7898621092220;113579;DESINF LAVANDA BRIIZ 5L;11.2
7896804000932;7896804000932;111949;DESINF IGUATEMI IDEAL 5L;9.58
7896804000505;7896804000505;6117;AGUA SANITARIA IDEAL 5L;8.55
7896804000604;7896804000604;111947;DETERG NEUTRO IDEAL 5L;11.49
7898256334900;7898256334900;50247007;TEXT LISA FORTEX 25KG BRANCO NEVE;139.9
SV0009;;SV0009;ALHO R. DESC. NAT. ALIMEMPRO 1,0 KG;28.5
7898195280023;7898195280023;4893;SACO HAMBURGUER 18X18 C/1000UND;18.5
7896030892660;7896030892660;1765;COPO 200ML PP C/100 UNDS COPOBRAS;7.9
7893590234572;7893590234572;81955;MASCARA DESC. TRIPLA C/ 50 TALGE;10.9
82860;;82860;SACO P/ LIXO 200LT PRETO REFORCADO;14
202-5L;;202-5L;202 - SEIKO IND ALIM DETERG. MEDIA ALCALINIDADE 5L;74.9
17898255678071;17898255678071;101046;GOLD DETERGENTE CLORADO 5L AUDAX;68.9
7898733920121;7898733920121;RV000620;PAPEL TOALHA BOBINA PRO TENAZ 27G 200MX19CM 6 ROLO;158.9
212;;212;FOAMING CAUSTIC CLEANER 5 L;74.9
93;;93;FARINHA DE TRIGO PASINI 00 LIEVITATI 10KG;125
04-01-021;;04-01-021;BISTECA SUINA|TRIB. APROX. R$53,77 FED, R$79,96 EST, R$0,00 MUN. FONTE: IBPT.;19.99
02-01-255;;02-01-255;MAO DE VACA (OSSO BUCO)|TRIB. APROX. R$17,35 FED, R$25,80 EST, R$0,00 MUN. FONTE: IBPT.;28.99
02-02-118;;02-02-118;PANELADA|TRIB. APROX. R$13,44 FED, R$19,99 EST, R$0,00 MUN. FONTE: IBPT.;19.99
02-01-162;;02-01-162;CORACAO BOV CONG|TRIB. APROX. R$10,10 FED, R$15,02 EST, R$0,00 MUN. FONTE: IBPT.;12.99
04-01-007;;04-01-007;COSTELA SUINA EM CUBOS|TRIB. APROX. R$54,85 FED, R$81,56 EST, R$0,00 MUN. FONTE: IBPT.;19.99
7891132005833;7891132005833;1884;SAZON CALDO PROF GALINHA FOOD SERVICE;20.055
6;;6;CARNE DO SOL;39.99
70330133013;70330133013;835205;CANETA ESFEROGRAFICA;712.68
70330133020;70330133020;835208;CANETA ESFEROGRAFICA;712.68
20070330183579;20070330183579;856432;CANETA ESFEROGRAFICA;677.05
20070330183586;20070330183586;886649;CANETA ESFEROGRAFICA;677.05
70330348608;70330348608;904400;CANETA COM PONTA DE FELTRO;495.06
70330348592;70330348592;904401;CANETA COM PONTA DE FELTRO;495.06
70330348615;70330348615;904402;CANETA COM PONTA DE FELTRO;495.06
2767;;2767;BABYLOOK GOLA POLO MANGA CURTA COM PUNHO PIQUET PV BRANCO P;39.6
2788;;2788;BABYLOOK GOLA POLO MANGA CURTA COM PUNHO PIQUET PV AZUL ROYAL M;39.6
2632;;2632;CAMISA GOLA POLO MANGA CURTA COM PUNHO PIQUET PV BRANCO G;42.8
2640;;2640;CAMISA GOLA POLO MANGA CURTA COM PUNHO PIQUET PV PRETO G;42.8
2773;;2773;BABYLOOK GOLA POLO MANGA CURTA COM PUNHO PIQUET PV PRETO M;39.6
