chave;data_emissao;cProd;xProd;uCom;qCom;vUnCom;vProd;ncm;cfop;cst;orig;cnpj_emitente;xNome_emitente
13250504402277000100550200000394821326962507;2025-05-07T03:00:00-03:00;835205;CANETA ESFEROGRAFICA;CX;1;712.68;712.68;96081000;6105;;4;4402277000100;BIC AMAZONIA SA
13250504402277000100550200000394821326962507;2025-05-07T03:00:00-03:00;835208;CANETA ESFEROGRAFICA;CX;1;712.68;712.68;96081000;6105;;4;4402277000100;BIC AMAZONIA SA
13250504402277000100550200000394821326962507;2025-05-07T03:00:00-03:00;856432;CANETA ESFEROGRAFICA;CX;1;677.05;677.05;96081000;6105;;4;4402277000100;BIC AMAZONIA SA
13250504402277000100550200000394821326962507;2025-05-07T03:00:00-03:00;886649;CANETA ESFEROGRAFICA;CX;1;677.05;677.05;96081000;6105;;4;4402277000100;BIC AMAZONIA SA
13250504402277000100550200000394821326962507;2025-05-07T03:00:00-03:00;904400;CANETA COM PONTA DE FELTRO;CX;1;495.06;495.06;96082000;6105;;4;4402277000100;BIC AMAZONIA SA
13250504402277000100550200000394821326962507;2025-05-07T03:00:00-03:00;904401;CANETA COM PONTA DE FELTRO;CX;1;495.06;495.06;96082000;6105;;4;4402277000100;BIC AMAZONIA SA
13250504402277000100550200000394821326962507;2025-05-07T03:00:00-03:00;904402;CANETA COM PONTA DE FELTRO;CX;1;495.06;495.06;96082000;6105;;4;4402277000100;BIC AMAZONIA SA
23250100212872000113550030000866131180773001;2025-01-08T16:39:47-03:00;2767;BABYLOOK GOLA POLO MANGA CURTA COM PUNHO PIQUET PV BRANCO P;UN;10;39.6;396;61062000;5101;;0;212872000113;ASA SUL INDUSTRIA E COMERCIO DE MALHAS LTDA
23250100212872000113550030000866131180773001;2025-01-08T16:39:47-03:00;2788;BABYLOOK GOLA POLO MANGA CURTA COM PUNHO PIQUET PV AZUL ROYAL M;UN;5;39.6;198;61062000;5101;;0;212872000113;ASA SUL INDUSTRIA E COMERCIO DE MALHAS LTDA
23250100212872000113550030000880641114786155;2025-01-22T15:55:55-03:00;2632;CAMISA GOLA POLO MANGA CURTA COM PUNHO PIQUET PV BRANCO G;UN;6;42.8;256.8;61052000;5101;;0;212872000113;ASA SUL INDUSTRIA E COMERCIO DE MALHAS LTDA
23250100212872000113550030000880641114786155;2025-01-22T15:55:55-03:00;2640;CAMISA GOLA POLO MANGA CURTA COM PUNHO PIQUET PV PRETO G;UN;6;42.8;256.8;61052000;5101;;0;212872000113;ASA SUL INDUSTRIA E COMERCIO DE MALHAS LTDA
